seed,keyword,pc_volume,mobile_volume,total_volume,competition,pc_click_avg,mobile_click_avg
명예훼손,공갈죄,340,1410,1750,높음,0.1,2.6
음주운전,교통사고진단서,1020,710,1730,높음,0.0,1.5
음주운전,교통사고12대중과실,1120,560,1680,높음,0.2,9.2
명예훼손,건조물침입죄,400,1280,1680,높음,0.8,15.4
음주운전,교통사고휴업손해,1010,660,1670,높음,0.0,2.8
음주운전,무면허음주운전처벌,1180,480,1660,높음,0.1,9.4
형사고소,공소장,480,1180,1660,높음,0.0,7.2
음주운전,음주운전2회벌금,1050,600,1650,높음,0.1,15.8
명예훼손,업무상과실치상,440,1200,1640,높음,0.3,6.8
음주운전,음주운전처벌기준,1150,480,1630,높음,0.6,6.4
명예훼손,독직폭행,270,1360,1630,높음,0.0,3.0
명예훼손,사문서위조죄,350,1260,1610,높음,0.4,12.2
음주운전,음주운전행정심판,1150,450,1600,높음,1.4,6.8
음주운전,음주운전면허취소벌금,340,1260,1600,높음,0.1,21.2
명예훼손,위장전입처벌,330,1270,1600,높음,0.7,14.2
명예훼손,과실치상,340,1260,1600,높음,0.3,3.2
명예훼손,검찰송치,440,1160,1600,높음,0.0,3.4
명예훼손,개인정보보호법위반,460,1140,1600,높음,0.1,4.2
음주운전,음주운전실형,1250,340,1590,높음,0.3,1.8
음주운전,도주치상,1070,520,1590,높음,0.3,1.4
명예훼손,약식명령,450,1120,1570,높음,0.1,2.6
음주운전,음주운전삼진아웃,1410,150,1560,높음,0.5,0.6
명예훼손,모욕죄벌금,160,1380,1540,높음,0.5,26.2
명예훼손,공무집행방해,750,780,1530,높음,0.0,2.2
음주운전,자전거사고,380,1140,1520,높음,0.1,4.2
명예훼손,영업방해죄,360,1160,1520,높음,0.0,7.6
음주운전,뺑소니벌금,970,540,1510,높음,0.5,5.6
음주운전,교통사고합의금계산,1110,400,1510,높음,0.1,3.6
명예훼손,성인지교육,700,810,1510,높음,2.6,8.6
명예훼손,상해치사,350,1150,1500,높음,0.1,0.8
명예훼손,사기고소,270,1230,1500,높음,1.6,17.0
형사고소,공소권없음,430,1070,1500,높음,0.0,8.4
